NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No)
Samba Rice,Local,Kg,Grains,Rice,,C128,1,10,,,GST 12%,inclusive,single,,,,150.00,133.93,20,180.00,100,Main Store,,0,,,,,,,,
Nadu Rice,Local,Kg,Grains,Rice,,C128,1,10,,,GST 12%,inclusive,single,,,,140.00,125.00,20,168.00,100,Main Store,,0,,,,,,,,
Red Rice,Local,Kg,Grains,Rice,,C128,1,10,,,GST 12%,inclusive,single,,,,160.00,142.86,20,192.00,100,Main Store,,0,,,,,,,,
Dhal,Local,Kg,Grains,Lentils,,C128,1,10,,,GST 12%,inclusive,single,,,,200.00,178.57,20,240.00,100,Main Store,,0,,,,,,,,
Toor Dhal,Local,Kg,Grains,Lentils,,C128,1,10,,,GST 12%,inclusive,single,,,,220.00,196.43,20,264.00,100,Main Store,,0,,,,,,,,
Moong Dhal,Local,Kg,Grains,Lentils,,C128,1,10,,,GST 12%,inclusive,single,,,,250.00,223.21,20,300.00,100,Main Store,,0,,,,,,,,
Urad Dhal,Local,Kg,Grains,Lentils,,C128,1,10,,,GST 12%,inclusive,single,,,,240.00,214.29,20,288.00,100,Main Store,,0,,,,,,,,
Wheat Flour,Local,Kg,Grains,Flour,,C128,1,10,,,GST 12%,inclusive,single,,,,120.00,107.14,20,144.00,100,Main Store,,0,,,,,,,,
Rice Flour,Local,Kg,Grains,Flour,,C128,1,10,,,GST 12%,inclusive,single,,,,130.00,116.07,20,156.00,100,Main Store,,0,,,,,,,,
Corn Flour,Local,Kg,Grains,Flour,,C128,1,10,,,GST 12%,inclusive,single,,,,110.00,98.21,20,132.00,100,Main Store,,0,,,,,,,,
Chili Powder,Local,Kg,Spices,Powder,,C128,1,10,,,GST 12%,inclusive,single,,,,300.00,267.86,20,360.00,100,Main Store,,0,,,,,,,,
Curry Powder,Local,Kg,Spices,Powder,,C128,1,10,,,GST 12%,inclusive,single,,,,250.00,223.21,20,300.00,100,Main Store,,0,,,,,,,,
Turmeric Powder,Local,Kg,Spices,Powder,,C128,1,10,,,GST 12%,inclusive,single,,,,400.00,357.14,20,480.00,100,Main Store,,0,,,,,,,,
Coriander Powder,Local,Kg,Spices,Powder,,C128,1,10,,,GST 12%,inclusive,single,,,,350.00,312.50,20,420.00,100,Main Store,,0,,,,,,,,
Cumin Powder,Local,Kg,Spices,Powder,,C128,1,10,,,GST 12%,inclusive,single,,,,450.00,401.79,20,540.00,100,Main Store,,0,,,,,,,,
Mustard Seeds,Local,Kg,Spices,Seeds,,C128,1,10,,,GST 12%,inclusive,single,,,,200.00,178.57,20,240.00,100,Main Store,,0,,,,,,,,
Fenugreek Seeds,Local,Kg,Spices,Seeds,,C128,1,10,,,GST 12%,inclusive,single,,,,300.00,267.86,20,360.00,100,Main Store,,0,,,,,,,,
Cardamom,Local,Kg,Spices,Whole,,C128,1,10,,,GST 12%,inclusive,single,,,,800.00,714.29,20,960.00,100,Main Store,,0,,,,,,,,
Cinnamon,Local,Kg,Spices,Sticks,,C128,1,10,,,GST 12%,inclusive,single,,,,600.00,535.71,20,720.00,100,Main Store,,0,,,,,,,,
Cloves,Local,Kg,Spices,Whole,,C128,1,10,,,GST 12%,inclusive,single,,,,700.00,625.00,20,840.00,100,Main Store,,0,,,,,,,,
Coconut Oil,Local,Kg,Oils,Cooking,,C128,1,10,,,GST 12%,inclusive,single,,,,350.00,312.50,20,420.00,100,Main Store,,0,,,,,,,,
Vegetable Oil,Local,Kg,Oils,Cooking,,C128,1,10,,,GST 12%,inclusive,single,,,,250.00,223.21,20,300.00,100,Main Store,,0,,,,,,,,
Mustard Oil,Local,Kg,Oils,Cooking,,C128,1,10,,,GST 12%,inclusive,single,,,,300.00,267.86,20,360.00,100,Main Store,,0,,,,,,,,
Sesame Oil,Local,Kg,Oils,Cooking,,C128,1,10,,,GST 12%,inclusive,single,,,,400.00,357.14,20,480.00,100,Main Store,,0,,,,,,,,
Fresh Milk,Local,Kg,Dairy,Milk,,C128,1,10,,,GST 12%,inclusive,single,,,,180.00,160.71,20,216.00,100,Main Store,,0,,,,,,,,
Yogurt,Local,Kg,Dairy,Yogurt,,C128,1,10,,,GST 12%,inclusive,single,,,,200.00,178.57,20,240.00,100,Main Store,,0,,,,,,,,
Cheese,Local,Kg,Dairy,Cheese,,C128,1,10,,,GST 12%,inclusive,single,,,,500.00,446.43,20,600.00,100,Main Store,,0,,,,,,,,
Butter,Local,Kg,Dairy,Butter,,C128,1,10,,,GST 12%,inclusive,single,,,,600.00,535.71,20,720.00,100,Main Store,,0,,,,,,,,
Ghee,Local,Kg,Dairy,Ghee,,C128,1,10,,,GST 12%,inclusive,single,,,,700.00,625.00,20,840.00,100,Main Store,,0,,,,,,,,
Banana,Local,Kg,Fruits,Tropical,,C128,1,10,,,GST 12%,inclusive,single,,,,100.00,89.29,20,120.00,100,Main Store,,0,,,,,,,,
Mango,Local,Kg,Fruits,Tropical,,C128,1,10,,,GST 12%,inclusive,single,,,,150.00,133.93,20,180.00,100,Main Store,,0,,,,,,,,
Pineapple,Local,Kg,Fruits,Tropical,,C128,1,10,,,GST 12%,inclusive,single,,,,120.00,107.14,20,144.00,100,Main Store,,0,,,,,,,,
Papaya,Local,Kg,Fruits,Tropical,,C128,1,10,,,GST 12%,inclusive,single,,,,80.00,71.43,20,96.00,100,Main Store,,0,,,,,,,,
Orange,Local,Kg,Fruits,Citrus,,C128,1,10,,,GST 12%,inclusive,single,,,,140.00,125.00,20,168.00,100,Main Store,,0,,,,,,,,
Apple,Local,Kg,Fruits,Imported,,C128,1,10,,,GST 12%,inclusive,single,,,,300.00,267.86,20,360.00,100,Main Store,,0,,,,,,,,
Grapes,Local,Kg,Fruits,Imported,,C128,1,10,,,GST 12%,inclusive,single,,,,400.00,357.14,20,480.00,100,Main Store,,0,,,,,,,,
Watermelon,Local,Kg,Fruits,Seasonal,,C128,1,10,,,GST 12%,inclusive,single,,,,60.00,53.57,20,72.00,100,Main Store,,0,,,,,,,,
Coconut,Local,Piece,Fruits,Local,,C128,1,10,,,GST 12%,inclusive,single,,,,50.00,44.64,20,60.00,100,Main Store,,0,,,,,,,,
Passion Fruit,Local,Kg,Fruits,Local,,C128,1,10,,,GST 12%,inclusive,single,,,,200.00,178.57,20,240.00,100,Main Store,,0,,,,,,,,
Tomato,Local,Kg,Vegetables,Leafy,,C128,1,10,,,GST 12%,inclusive,single,,,,120.00,107.14,20,144.00,100,Main Store,,0,,,,,,,,
Onion,Local,Kg,Vegetables,Root,,C128,1,10,,,GST 12%,inclusive,single,,,,80.00,71.43,20,96.00,100,Main Store,,0,,,,,,,,
Potato,Local,Kg,Vegetables,Root,,C128,1,10,,,GST 12%,inclusive,single,,,,90.00,80.36,20,108.00,100,Main Store,,0,,,,,,,,
Carrot,Local,Kg,Vegetables,Root,,C128,1,10,,,GST 12%,inclusive,single,,,,150.00,133.93,20,180.00,100,Main Store,,0,,,,,,,,
Cabbage,Local,Kg,Vegetables,Leafy,,C128,1,10,,,GST 12%,inclusive,single,,,,100.00,89.29,20,120.00,100,Main Store,,0,,,,,,,,
Brinjal,Local,Kg,Vegetables,Vegetable,,C128,1,10,,,GST 12%,inclusive,single,,,,130.00,116.07,20,156.00,100,Main Store,,0,,,,,,,,
Lady Finger,Local,Kg,Vegetables,Vegetable,,C128,1,10,,,GST 12%,inclusive,single,,,,160.00,142.86,20,192.00,100,Main Store,,0,,,,,,,,
Bitter Gourd,Local,Kg,Vegetables,Vegetable,,C128,1,10,,,GST 12%,inclusive,single,,,,140.00,125.00,20,168.00,100,Main Store,,0,,,,,,,,
Pumpkin,Local,Kg,Vegetables,Vegetable,,C128,1,10,,,GST 12%,inclusive,single,,,,70.00,62.50,20,84.00,100,Main Store,,0,,,,,,,,
Green Chili,Local,Kg,Vegetables,Vegetable,,C128,1,10,,,GST 12%,inclusive,single,,,,200.00,178.57,20,240.00,100,Main Store,,0,,,,,,,,
Garlic,Local,Kg,Vegetables,Root,,C128,1,10,,,GST 12%,inclusive,single,,,,250.00,223.21,20,300.00,100,Main Store,,0,,,,,,,,
Chicken Breast,Local,Kg,Meat,Poultry,,C128,1,10,,,GST 12%,inclusive,single,,,,400.00,357.14,20,480.00,100,Main Store,,0,,,,,,,,
